tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,rule_based_sentiment,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
568198336651649027,positive,1.0,,,Delta,,GenuineJack,,0,@JetBlue I'll pass along the advice. You guys rock!!,,2015-02-18 16:00:14 -0800,Massachusetts,Central Time (US & Canada),neutral,,,,,,,
568438094652956673,negative,0.7036,Lost Luggage,0.7036,United,,vina_love,,0,@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet.,,2015-02-19 07:52:57 -0800,ny,Quito,neutral,,,,,,,
567858373527470080,positive,1.0,,,Southwest,,Capt_Smirk,,0,@SouthwestAir Black History Commercial is really sweet. Well done.,,2015-02-17 17:29:21 -0800,La Florida,Eastern Time (US & Canada),neutral,,,,,,,
569336871853170688,negative,1.0,Late Flight,1.0,Southwest,,scoobydoo9749,,0,@SouthwestAir why am I still in Baltimore?! @delta is doing laps around us and laughing about it. # ridiculous,"[39.1848041, -76.6787131]",2015-02-21 19:24:22 -0800,"Tallahassee, FL",America/Chicago,neutral,,,,,,,
568839199773732864,positive,0.6832,,,Southwest,,laurafall,,0,@SouthwestAir SEA to DEN. South Sound Volleyball team on its way! http://t.co/tN5cXCld6M,,2015-02-20 10:26:48 -0800,,Pacific Time (US & Canada),neutral,,,,,,,
569748884164988929,negative,1.0,Flight Attendant Complaints,0.6818,United,,JacquieMae08,,1,@united One of your workers refused to give me her name as a reference for my notes. Her tone &amp; language was very unprofessional.,,2015-02-22 22:41:34 -0800,SD || CA   ,Arizona,neutral,,,,,,,
570066226233417728,negative,1.0,Bad Flight,0.6966,American,,lczand,,0,@AmericanAir seats that were assigned are inappropriate for child this age. AA knew age of child.,,2015-02-23 19:42:34 -0800,SE USA,Central Time (US & Canada),neutral,,,,,,,
569853969469734912,negative,1.0,Customer Service Issue,0.3642,American,,Davitossss,,0,@AmericanAir now you change my gate and don't tell me? What the fuck is wrong with you people. Learn to do your fucken job,,2015-02-23 05:39:08 -0800,,,neutral,,,,,,,
569771270839013376,negative,1.0,Late Flight,1.0,US Airways,,jakenemmasmom,,0,@USAirways What a mess caused by the computer systems. Flight 719 in 3 hours Late Flight and now no gate for us. Est 26 min wait.,,2015-02-23 00:10:31 -0800,,,neutral,,,,,,,
568157451729526784,negative,1.0,Customer Service Issue,0.6803,United,,HeHaithMe,,1,"@united How come you are the ONLY airline, of 90+ flights last year that makes me check my carry-on. Not even gate check...baggage claim?!?",,2015-02-18 13:17:47 -0800,Born/Raised in 314/Home is 317,Eastern Time (US & Canada),neutral,,,,,,,
569600023597428736,negative,1.0,longlines,1.0,US Airways,,RBuchmann,,0,@USAirways Its pretty ridiculous that at PHX sky harbor you have 4 (!) employees working check in on a SUNDAY afternoon. 30 min &amp; counting..,,2015-02-22 12:50:02 -0800,"Saint Louis, MO",Central Time (US & Canada),neutral,,,,,,,
569228892638019585,negative,1.0,Cancelled Flight,1.0,United,,pwaggs,,0,@united yes 1427 Cancelled Flightled. Moved to 333. I'll figure out car rental changes and such.,,2015-02-21 12:15:18 -0800,"Washington, DC",Eastern Time (US & Canada),neutral,,,,,,,
569865061855932416,negative,1.0,Cancelled Flight,0.6501,American,,Mj_Effects,,0,@AmericanAir this is the biggest joke of #customerservice I've ever seen from a  ✈️ brand http://t.co/XHSUUpHeZe,,2015-02-23 06:23:12 -0800,"Manhattan, NY",Eastern Time (US & Canada),neutral,,,,,,,
569660029093203968,negative,1.0,Cancelled Flight,0.3576,American,,TheJoshAbides,,0,"@AmericanAir I made my flight but then still had no update emails when I landed, no info ever sent on that or second flight. Losing my biz.",,2015-02-22 16:48:29 -0800,New York City,Eastern Time (US & Canada),neutral,,,,,,,
